repeat,case,project,routes,path_len,providers_per_rule,prefix_rules_per_origin,origin_diversity_pct,generated_prefix_rules,active_prefix_rules,distinct_origins,proto,wall_us,total_ns,total_us,calls,avg_ns,rss_kb,user_us,sys_us,minflt,majflt,nvcsw,nivcsw,log_file
1,original-global,bird,1000000,4,10,2,1,20000,20000,10000,test_routes,906155,151801339,151801,1000000,151,1866908,3750307,1231469,469332,0,0,127,
2,original-global,bird,1000000,4,10,2,1,20000,20000,10000,test_routes,925245,155882919,155882,1000000,155,1867028,3919741,1099931,469333,0,0,91,
3,original-global,bird,1000000,4,10,2,1,20000,20000,10000,test_routes,918899,153425201,153425,1000000,153,1866996,3963150,1034745,469333,0,1,94,
4,original-global,bird,1000000,4,10,2,1,20000,20000,10000,test_routes,999580,156690991,156690,1000000,156,1867136,4087127,1482239,469333,0,0,245,
5,original-global,bird,1000000,4,10,2,1,20000,20000,10000,test_routes,933789,155360043,155360,1000000,155,1866908,3818956,1191674,469334,0,0,79,
6,original-global,bird,1000000,4,10,2,1,20000,20000,10000,test_routes,933956,154528577,154528,1000000,154,1866816,3901716,1232559,469330,0,0,94,
7,original-global,bird,1000000,4,10,2,1,20000,20000,10000,test_routes,900783,152884641,152884,1000000,152,1867288,3833294,1179140,469337,0,0,153,
8,original-global,bird,1000000,4,10,2,1,20000,20000,10000,test_routes,928171,154638217,154638,1000000,154,1866936,3950752,1115692,469331,0,0,217,
9,original-global,bird,1000000,4,10,2,1,20000,20000,10000,test_routes,921493,158425846,158425,1000000,158,1867160,3825275,1211140,469332,0,0,67,
10,original-global,bird,1000000,4,10,2,1,20000,20000,10000,test_routes,935318,153315649,153315,1000000,153,1867036,3791326,1227840,469331,0,0,221,
1,linear-global,linear,1000000,4,10,2,1,20000,20000,10000,test_routes,1168841,162253863,162253,1000000,162,1871392,4464313,1518805,470432,0,0,165,
1,linear-hit,linear,1000000,4,10,2,1,20000,20000,10000,test_routes,976744,184645999,184645,1000000,184,1902008,4048284,1214932,478227,0,0,191,
1,linear-miss,linear,1000000,4,10,2,1,20000,20000,10000,test_routes,929497,170671931,170671,1000000,170,1902028,4070991,1074700,478230,0,0,147,
2,linear-global,linear,1000000,4,10,2,1,20000,20000,10000,test_routes,932654,151506085,151506,1000000,151,1871404,3976678,1150883,470433,0,0,69,
2,linear-hit,linear,1000000,4,10,2,1,20000,20000,10000,test_routes,969624,185038011,185038,1000000,185,1901828,4047528,1173662,478226,0,0,146,
2,linear-miss,linear,1000000,4,10,2,1,20000,20000,10000,test_routes,979919,170018101,170018,1000000,170,1902064,4139548,1118835,478227,0,0,84,
3,linear-global,linear,1000000,4,10,2,1,20000,20000,10000,test_routes,977842,155330024,155330,1000000,155,1871668,4018577,1227594,470435,0,0,83,
3,linear-hit,linear,1000000,4,10,2,1,20000,20000,10000,test_routes,981748,183568721,183568,1000000,183,1902000,4191573,1118839,478229,0,0,158,
3,linear-miss,linear,1000000,4,10,2,1,20000,20000,10000,test_routes,964568,170816996,170816,1000000,170,1901896,4191798,1091955,478228,0,0,55,
4,linear-global,linear,1000000,4,10,2,1,20000,20000,10000,test_routes,921789,151517981,151517,1000000,151,1871304,3913137,1164234,470430,0,0,78,
4,linear-hit,linear,1000000,4,10,2,1,20000,20000,10000,test_routes,967863,185560020,185560,1000000,185,1901812,4084895,1135127,478228,0,0,82,
4,linear-miss,linear,1000000,4,10,2,1,20000,20000,10000,test_routes,955136,171986021,171986,1000000,171,1901732,4101357,1095297,478225,0,0,75,
5,linear-global,linear,1000000,4,10,2,1,20000,20000,10000,test_routes,902921,151452586,151452,1000000,151,1871688,3840378,1230842,470436,0,0,70,
5,linear-hit,linear,1000000,4,10,2,1,20000,20000,10000,test_routes,992072,184199801,184199,1000000,184,1901848,4093105,1271118,478226,0,0,45,
