routes,path_len,providers_per_rule,prefix_rules_per_origin,origin_diversity_pct,generated_prefix_rules,active_prefix_rules,distinct_origins,case,wall_us_mean,wall_us_ci95,total_ns_mean,total_ns_ci95,total_us_mean,total_us_ci95,calls_mean,calls_ci95,avg_ns_mean,avg_ns_ci95,rss_kb_mean,rss_kb_ci95,user_us_mean,user_us_ci95,sys_us_mean,sys_us_ci95,minflt_mean,minflt_ci95,majflt_mean,majflt_ci95,nvcsw_mean,nvcsw_ci95,nivcsw_mean,nivcsw_ci95,delta_total_ns_pct_vs_original,delta_wall_pct_vs_original,delta_total_pct_vs_original,delta_avg_ns_pct_vs_original,delta_rss_pct_vs_original,delta_user_pct_vs_original,delta_sys_pct_vs_original
1000000,4,10,2,1,20000,20000,10000,hybrid-global,1011222.6,14887.57,148147222.5,496799.43,148146.8,496.84,1000000.0,0.0,147.6,0.5,1888505.2,49.17,4073803.1,50824.63,1287965.0,109143.12,474664.4,0.6,0.0,0.0,0.0,0.0,115.0,74.62,-4.23,8.69,-4.23,-4.22,1.15,4.88,7.27
1000000,4,10,2,1,20000,20000,10000,hybrid-hit,1064299.4,46469.62,190173322.2,2846730.44,190172.8,2846.71,1000000.0,0.0,189.7,2.92,1919078.4,82.51,4265968.7,139154.34,1339643.0,130575.49,482506.4,0.9,0.0,0.0,0.0,0.0,81.6,33.65,22.93,14.40,22.93,23.10,2.79,9.83,11.58
1000000,4,10,2,1,20000,20000,10000,hybrid-miss,1090201.9,60023.61,175901118.9,4219958.15,175900.7,4219.96,1000000.0,0.0,175.6,4.08,1919095.6,52.56,4316134.2,201507.66,1313354.8,102173.72,482506.6,1.08,0.0,0.0,0.0,0.0,104.0,34.79,13.71,17.18,13.71,13.95,2.79,11.12,9.39
1000000,4,10,2,1,20000,20000,10000,original-global,930338.9,19285.74,154695342.3,1409661.79,154694.8,1409.55,1000000.0,0.0,154.1,1.45,1867021.2,101.03,3884164.4,71643.84,1200642.9,85151.8,469332.6,1.4,0.0,0.0,0.1,0.23,138.8,47.4,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1000000,4,10,2,1,20000,20000,10000,linear-global,974375.8,57169.95,154344307.0,2750924.09,154343.8,2750.95,1000000.0,0.0,153.8,2.76,1871545.2,101.24,4055726.3,142071.79,1265131.4,83501.86,470433.9,1.33,0.0,0.0,0.1,0.23,147.9,87.51,-0.23,4.73,-0.23,-0.19,0.24,4.42,5.37
1000000,4,10,2,1,20000,20000,10000,linear-hit,992008.4,27990.23,185972855.8,2055864.65,185972.3,2055.78,1000000.0,0.0,185.5,2.03,1901913.2,60.49,4134927.0,95799.45,1231326.4,74689.05,478227.5,1.03,0.0,0.0,0.0,0.0,183.8,124.43,20.22,6.63,20.22,20.38,1.87,6.46,2.56
1000000,4,10,2,1,20000,20000,10000,linear-miss,956599.6,15810.16,171361843.5,1282289.06,171361.4,1282.24,1000000.0,0.0,170.8,1.21,1901928.8,82.09,4131504.2,69574.25,1137209.9,45174.75,478227.6,1.08,0.0,0.0,0.0,0.0,84.6,27.67,10.77,2.82,10.77,10.84,1.87,6.37,-5.28
1000000,4,10,2,1,20000,20000,10000,trie-global,1049039.9,36834.65,162647756.4,1812653.62,162647.3,1812.71,1000000.0,0.0,162.2,1.87,1888000.0,61.48,4200945.0,98524.47,1245428.2,123423.19,474582.5,1.03,0.0,0.0,0.0,0.0,299.5,301.02,5.14,12.76,5.14,5.26,1.12,8.16,3.73
1000000,4,10,2,1,20000,20000,10000,trie-hit,1198461.6,67177.69,305809137.2,11278854.33,305808.5,11278.86,1000000.0,0.0,305.2,11.27,2002010.0,62.75,4344243.7,128482.35,1389144.6,116775.37,503242.6,0.9,0.0,0.0,0.0,0.0,123.6,67.03,97.68,28.82,97.69,98.05,7.23,11.85,15.70
1000000,4,10,2,1,20000,20000,10000,trie-miss,1207387.4,81727.96,256442590.0,10666257.54,256442.2,10666.37,1000000.0,0.0,256.0,10.67,2001986.0,62.3,4442887.1,193571.55,1415946.0,132479.61,503241.4,0.5,0.0,0.0,0.1,0.23,89.5,18.66,65.77,29.78,65.77,66.13,7.23,14.38,17.93
1000000,4,10,2,2,40000,40000,20000,hybrid-global,1007923.3,20446.64,162443978.2,1057904.89,162443.4,1057.87,1000000.0,0.0,161.8,1.11,1917443.6,56.51,4100272.6,64997.08,1155713.1,55128.1,481998.9,0.86,0.0,0.0,0.0,0.0,36.2,22.77,-1.47,6.45,-1.47,-1.58,1.61,3.11,-4.29
1000000,4,10,2,2,40000,40000,20000,hybrid-hit,1015392.1,13745.09,204470777.2,1682466.51,204470.2,1682.5,1000000.0,0.0,203.8,1.75,1978754.0,51.21,4256230.9,50438.83,1206842.3,54623.41,497684.2,1.0,0.0,0.0,0.0,0.0,37.6,16.75,24.02,7.24,24.02,23.97,4.86,7.03,-0.06
1000000,4,10,2,2,40000,40000,20000,hybrid-miss,1064102.5,50772.46,192834559.2,5198094.63,192834.1,5198.16,1000000.0,0.0,192.2,5.14,1978749.6,39.99,4287389.4,138148.56,1224916.1,56439.79,497684.2,0.88,0.0,0.0,0.0,0.0,46.3,21.42,16.96,12.38,16.96,16.91,4.86,7.82,1.44
1000000,4,10,2,2,40000,40000,20000,original-global,946837.0,22719.75,164868658.7,1284384.58,164868.1,1284.34,1000000.0,0.0,164.4,1.23,1887021.2,78.94,3976485.6,63073.98,1207576.1,26028.73,474390.2,0.81,0.0,0.0,0.0,0.0,54.2,8.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1000000,4,10,2,2,40000,40000,20000,linear-global,963781.6,31881.08,165248785.6,2714519.22,165248.4,2714.57,1000000.0,0.0,164.9,2.66,1895762.8,81.48,4085515.9,57207.03,1202673.7,83588.54,476594.9,1.04,0.0,0.0,0.0,0.0,70.5,28.85,0.23,1.79,0.23,0.30,0.46,2.74,-0.41
1000000,4,10,2,2,40000,40000,20000,linear-hit,1017222.2,37205.8,202462350.3,4350170.45,202461.8,4350.04,1000000.0,0.0,201.9,4.31,1956426.0,70.84,4311866.1,147696.93,1222997.3,55784.83,492121.5,0.7,0.0,0.0,0.0,0.0,69.5,36.09,22.80,7.43,22.80,22.81,3.68,8.43,1.28
1000000,4,10,2,2,40000,40000,20000,linear-miss,993710.1,27305.84,192659001.2,5921628.31,192658.6,5921.52,1000000.0,0.0,192.2,5.98,1956434.4,102.3,4301094.1,80288.79,1176436.7,57648.34,492121.3,0.68,0.0,0.0,0.0,0.0,141.8,186.41,16.86,4.95,16.86,16.91,3.68,8.16,-2.58
1000000,4,10,2,2,40000,40000,20000,trie-global,1022937.1,24439.79,176315862.1,2796336.64,176315.4,2796.34,1000000.0,0.0,175.7,2.9,1916098.8,73.88,4133432.7,79821.08,1205848.0,65751.82,481686.4,1.02,0.0,0.0,0.0,0.0,66.4,30.34,6.94,8.04,6.94,6.87,1.54,3.95,-0.14
1000000,4,10,2,2,40000,40000,20000,trie-hit,1211227.0,23334.54,372005650.7,8474675.2,372005.2,8474.75,1000000.0,0.0,371.4,8.55,2144699.6,69.64,4346390.3,61760.85,1348796.5,93149.9,539170.3,0.96,0.0,0.0,0.0,0.0,110.7,126.59,125.64,27.92,125.64,125.91,13.66,9.30,11.69
1000000,4,10,2,2,40000,40000,20000,trie-miss,1185217.1,16129.68,323367303.0,5500119.38,323366.7,5500.23,1000000.0,0.0,322.8,5.42,2144702.4,59.15,4281484.7,61096.0,1331982.7,53104.4,539170.7,1.01,0.0,0.0,0.1,0.23,75.1,24.11,96.14,25.18,96.14,96.35,13.66,7.67,10.30
1000000,4,10,4,1,40000,40000,10000,hybrid-global,971230.5,49533.11,147903952.6,2390637.91,147903.6,2390.47,1000000.0,0.0,147.2,2.38,1888514.4,58.63,3960888.9,151737.19,1180593.1,95961.03,474664.5,0.61,0.0,0.0,0.0,0.0,50.5,10.96,-4.43,7.57,-4.43,-4.60,1.15,3.35,4.99
