repeat,case,project,routes,path_len,providers_per_rule,prefix_rules,origin_diversity_pct,generated_prefix_rules,distinct_origins,proto,wall_us,total_ns,total_us,calls,avg_ns,rss_kb,user_us,sys_us,minflt,majflt,nvcsw,nivcsw,log_file
1,original-global,bird,10000,4,10,64,0,64,1,test_routes,7232,1371324,1371,10000,137,21120,15824,27692,4832,0,0,2,
2,original-global,bird,10000,4,10,64,0,64,1,test_routes,7181,1381787,1381,10000,138,21248,25766,17177,4832,0,0,0,
3,original-global,bird,10000,4,10,64,0,64,1,test_routes,7237,1379057,1379,10000,137,21268,42779,0,4833,0,0,2,
4,original-global,bird,10000,4,10,64,0,64,1,test_routes,7176,1385381,1385,10000,138,21132,34033,8508,4833,0,0,0,
5,original-global,bird,10000,4,10,64,0,64,1,test_routes,7363,1409858,1409,10000,140,21036,27371,15640,4831,0,0,0,
6,original-global,bird,10000,4,10,64,0,64,1,test_routes,7254,1398617,1398,10000,139,21104,23328,19440,4833,0,0,0,
7,original-global,bird,10000,4,10,64,0,64,1,test_routes,7180,1405227,1405,10000,140,21184,26965,15408,4833,0,0,0,
8,original-global,bird,10000,4,10,64,0,64,1,test_routes,7230,1384944,1384,10000,138,21048,30531,11449,4832,0,0,0,
9,original-global,bird,10000,4,10,64,0,64,1,test_routes,7305,1390240,1390,10000,139,21140,19717,23660,4833,0,0,0,
10,original-global,bird,10000,4,10,64,0,64,1,test_routes,8046,1483617,1483,10000,148,21248,40655,8131,4831,0,0,1,
1,linear-global,linear,10000,4,10,64,0,64,1,test_routes,7245,1384392,1384,10000,138,21232,27576,15758,4835,0,0,1,
1,linear-hit,linear,10000,4,10,64,0,64,1,test_routes,11663,5701167,5701,10000,570,21288,40595,8119,4847,0,0,1,
1,linear-miss,linear,10000,4,10,64,0,64,1,test_routes,11631,5615282,5615,10000,561,21272,35606,11868,4848,0,0,0,
2,linear-global,linear,10000,4,10,64,0,64,1,test_routes,7281,1352611,1352,10000,135,21124,37252,7450,4836,0,0,4,
2,linear-hit,linear,10000,4,10,64,0,64,1,test_routes,11820,5704010,5704,10000,570,21236,37282,11184,4846,0,0,1,
2,linear-miss,linear,10000,4,10,64,0,64,1,test_routes,11642,5630015,5630,10000,563,21316,32050,16025,4846,0,0,0,
3,linear-global,linear,10000,4,10,64,0,64,1,test_routes,7290,1344742,1344,10000,134,21308,39859,3985,4836,0,0,2,
3,linear-hit,linear,10000,4,10,64,0,64,1,test_routes,11664,5623123,5623,10000,562,21188,44274,4024,4845,0,0,0,
3,linear-miss,linear,10000,4,10,64,0,64,1,test_routes,11710,5661454,5661,10000,566,21188,35596,11865,4846,0,0,4,
4,linear-global,linear,10000,4,10,64,0,64,1,test_routes,7242,1345903,1345,10000,134,21272,35176,7817,4837,0,0,0,
4,linear-hit,linear,10000,4,10,64,0,64,1,test_routes,11830,5716866,5716,10000,571,21416,44948,4086,4848,0,0,2,
4,linear-miss,linear,10000,4,10,64,0,64,1,test_routes,11834,5687339,5687,10000,568,21356,39673,7936,4848,0,0,0,
5,linear-global,linear,10000,4,10,64,0,64,1,test_routes,7316,1338508,1338,10000,133,21188,35827,7961,4836,0,0,1,
5,linear-hit,linear,10000,4,10,64,0,64,1,test_routes,11838,5692120,5692,10000,569,21288,31544,15772,4847,0,0,2,
5,linear-miss,linear,10000,4,10,64,0,64,1,test_routes,11813,5676300,5676,10000,567,21188,47577,0,4845,0,0,5,
6,linear-global,linear,10000,4,10,64,0,64,1,test_routes,7317,1341007,1341,10000,134,21184,43335,0,4836,0,0,0,
6,linear-hit,linear,10000,4,10,64,0,64,1,test_routes,11947,5685601,5685,10000,568,21312,44086,8015,4848,0,0,0,
6,linear-miss,linear,10000,4,10,64,0,64,1,test_routes,11733,5681275,5681,10000,568,21120,35741,11913,4844,0,0,1,
7,linear-global,linear,10000,4,10,64,0,64,1,test_routes,7274,1330650,1330,10000,133,21060,39113,4345,4835,0,0,2,
7,linear-hit,linear,10000,4,10,64,0,64,1,test_routes,11650,5674650,5674,10000,567,21284,31558,15779,4846,0,0,0,
7,linear-miss,linear,10000,4,10,64,0,64,1,test_routes,11724,5667843,5667,10000,566,21232,43772,3979,4846,0,0,0,
8,linear-global,linear,10000,4,10,64,0,64,1,test_routes,7211,1358167,1358,10000,135,21252,34237,8559,4835,0,0,1,
8,linear-hit,linear,10000,4,10,64,0,64,1,test_routes,12265,5760330,5760,10000,576,21252,39619,11885,4846,0,0,1,
8,linear-miss,linear,10000,4,10,64,0,64,1,test_routes,11830,5726632,5726,10000,572,21252,27831,19879,4844,0,0,3,
9,linear-global,linear,10000,4,10,64,0,64,1,test_routes,7401,1362506,1362,10000,136,21056,27638,15793,4836,0,1,1,
9,linear-hit,linear,10000,4,10,64,0,64,1,test_routes,11773,5705009,5705,10000,570,21184,40892,8178,4846,0,0,3,
9,linear-miss,linear,10000,4,10,64,0,64,1,test_routes,11742,5658468,5658,10000,565,21272,44930,4084,4846,0,0,1,
10,linear-global,linear,10000,4,10,64,0,64,1,test_routes,7196,1344023,1344,10000,134,21288,35566,7903,4836,0,0,3,
10,linear-hit,linear,10000,4,10,64,0,64,1,test_routes,12050,5694504,5694,10000,569,21308,36393,16174,4848,0,0,1,
10,linear-miss,linear,10000,4,10,64,0,64,1,test_routes,12053,5745440,5745,10000,574,21380,39883,11964,4847,0,0,0,
1,trie-global,bird-prefix-trie,10000,4,10,64,0,64,1,test_routes,7522,1420467,1420,10000,142,21296,37324,8300,4876,0,0,0,
1,trie-hit,bird-prefix-trie,10000,4,10,64,0,64,1,test_routes,8166,1858140,1858,10000,185,21364,30974,19359,4892,0,0,0,
1,trie-miss,bird-prefix-trie,10000,4,10,64,0,64,1,test_routes,7776,1600220,1600,10000,160,21368,36924,8205,4892,0,0,1,
2,trie-global,bird-prefix-trie,10000,4,10,64,0,64,1,test_routes,7586,1555910,1555,10000,155,21528,31749,11906,4879,0,0,4,
2,trie-hit,bird-prefix-trie,10000,4,10,64,0,64,1,test_routes,7905,1858817,1858,10000,185,21508,36472,8104,4892,0,0,0,
2,trie-miss,bird-prefix-trie,10000,4,10,64,0,64,1,test_routes,7603,1568583,1568,10000,156,21380,23882,19893,4891,0,0,1,
3,trie-global,bird-prefix-trie,10000,4,10,64,0,64,1,test_routes,7436,1416390,1416,10000,141,21484,35710,7935,4878,0,0,3,
3,trie-hit,bird-prefix-trie,10000,4,10,64,0,64,1,test_routes,7886,1866350,1866,10000,186,21416,20056,24067,4892,0,0,0,
3,trie-miss,bird-prefix-trie,10000,4,10,64,0,64,1,test_routes,7589,1604144,1604,10000,160,21380,25839,17226,4892,0,0,2,
4,trie-global,bird-prefix-trie,10000,4,10,64,0,64,1,test_routes,7377,1408714,1408,10000,140,21220,31348,11755,4874,0,0,0,
4,trie-hit,bird-prefix-trie,10000,4,10,64,0,64,1,test_routes,7805,1859764,1859,10000,185,21500,43487,0,4892,0,0,0,
4,trie-miss,bird-prefix-trie,10000,4,10,64,0,64,1,test_routes,7743,1596981,1596,10000,159,21508,36654,8145,4892,0,0,0,
5,trie-global,bird-prefix-trie,10000,4,10,64,0,64,1,test_routes,7376,1415552,1415,10000,141,21352,31353,11757,4876,0,0,1,
5,trie-hit,bird-prefix-trie,10000,4,10,64,0,64,1,test_routes,7965,1857424,1857,10000,185,21372,27770,15868,4893,0,0,1,
5,trie-miss,bird-prefix-trie,10000,4,10,64,0,64,1,test_routes,7836,1578967,1578,10000,157,21380,23754,23754,4892,0,0,1,
