routes,path_len,providers_per_rule,prefix_rules,origin_diversity_pct,generated_prefix_rules,distinct_origins,case,wall_us_mean,wall_us_ci95,total_ns_mean,total_ns_ci95,total_us_mean,total_us_ci95,calls_mean,calls_ci95,avg_ns_mean,avg_ns_ci95,rss_kb_mean,rss_kb_ci95,user_us_mean,user_us_ci95,sys_us_mean,sys_us_ci95,minflt_mean,minflt_ci95,majflt_mean,majflt_ci95,nvcsw_mean,nvcsw_ci95,nivcsw_mean,nivcsw_ci95,delta_total_ns_pct_vs_original,delta_wall_pct_vs_original,delta_total_pct_vs_original,delta_avg_ns_pct_vs_original,delta_rss_pct_vs_original,delta_user_pct_vs_original,delta_sys_pct_vs_original
10000,4,10,64,0,64,1,hybrid-global,7805.2,221.0,1368130.6,148808.84,1367.7,148.88,10000.0,0.0,136.3,14.98,21486.0,80.89,33365.0,3946.16,13283.8,3956.39,4876.8,1.0,0.0,0.0,0.1,0.23,15.0,25.34,-2.21,6.62,-2.20,-2.22,1.58,16.27,-9.70
10000,4,10,64,0,64,1,hybrid-hit,8179.8,103.35,1780326.3,24901.14,1779.9,24.92,10000.0,0.0,177.4,2.62,21410.0,77.56,35105.4,3263.5,12123.4,3483.69,4891.3,0.9,0.0,0.0,0.0,0.0,2.6,3.17,27.26,11.74,27.27,27.26,1.22,22.33,-17.59
10000,4,10,64,0,64,1,hybrid-miss,8272.4,575.15,1510807.7,36698.15,1510.1,36.65,10000.0,0.0,150.6,3.76,21399.6,53.13,35451.2,5313.53,12061.9,6109.72,4890.5,0.77,0.0,0.0,0.0,0.0,7.1,13.13,7.99,13.00,7.98,8.03,1.17,23.54,-18.00
10000,4,10,64,0,64,1,original-global,7320.4,187.12,1399005.2,22915.41,1398.5,22.87,10000.0,0.0,139.4,2.29,21152.8,58.91,28696.9,6133.23,14710.5,5777.88,4832.3,0.59,0.0,0.0,0.0,0.0,0.5,0.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10000,4,10,64,0,64,1,linear-global,7277.3,42.56,1350250.9,10873.34,1349.8,10.9,10000.0,0.0,134.6,1.08,21196.4,65.17,35557.9,3559.73,7957.1,3496.46,4835.8,0.45,0.0,0.0,0.1,0.23,1.5,0.91,-3.48,-0.59,-3.48,-3.44,0.21,23.91,-45.91
10000,4,10,64,0,64,1,linear-hit,11850.0,138.74,5695738.0,24591.71,5695.4,24.57,10000.0,0.0,569.2,2.5,21275.6,48.08,39119.1,3505.49,10321.6,3288.67,4846.7,0.76,0.0,0.0,0.0,0.0,1.1,0.71,307.13,61.88,307.25,308.32,0.58,36.32,-29.84
10000,4,10,64,0,64,1,linear-miss,11771.2,87.02,5675004.8,28130.25,5674.6,28.07,10000.0,0.0,567.0,2.76,21257.6,57.32,38265.9,4358.37,9951.3,4290.97,4846.0,1.01,0.0,0.0,0.0,0.0,1.4,1.36,305.65,60.80,305.76,306.74,0.50,33.35,-32.35
10000,4,10,64,0,64,1,trie-global,7635.3,323.93,1430439.0,31980.48,1430.0,31.87,10000.0,0.0,142.5,3.19,21403.2,87.21,34177.3,3721.9,10302.1,3322.13,4876.2,1.06,0.0,0.0,0.0,0.0,2.0,1.72,2.25,4.30,2.25,2.22,1.18,19.10,-29.97
10000,4,10,64,0,64,1,trie-hit,7950.7,69.37,1861440.9,12477.83,1860.8,12.48,10000.0,0.0,185.6,1.27,21472.0,58.4,33954.9,4691.1,10992.7,4999.94,4892.5,0.51,0.0,0.0,0.0,0.0,2.2,2.38,33.05,8.61,33.06,33.14,1.51,18.32,-25.27
10000,4,10,64,0,64,1,trie-miss,7776.5,130.84,1595119.6,14967.22,1594.6,14.98,10000.0,0.0,159.0,1.62,21468.0,64.8,30464.7,5148.69,14695.0,5865.48,4892.8,1.21,0.0,0.0,0.0,0.0,2.0,1.58,14.02,6.23,14.02,14.06,1.49,6.16,-0.11
10000,4,10,64,10,64000,1000,hybrid-global,9816.2,380.15,2852946.5,120129.49,2852.4,120.01,10000.0,0.0,284.7,11.99,24261.6,54.91,40867.1,3539.36,13014.3,4710.43,5600.5,0.84,0.0,0.0,0.2,0.3,2.5,2.81,23.34,11.65,23.35,23.30,3.89,17.25,-20.30
10000,4,10,64,10,64000,1000,hybrid-hit,31096.0,1053.98,22576014.5,991563.81,22575.5,991.64,10000.0,0.0,2257.2,99.33,72040.4,48.4,182629.8,5893.71,43418.2,6497.68,17741.9,0.63,0.0,0.0,0.1,0.23,22.2,41.95,876.05,253.68,876.24,877.57,208.49,423.97,165.88
10000,4,10,64,10,64000,1000,hybrid-miss,32712.1,3002.94,23814617.4,2327569.87,23814.0,2327.54,10000.0,0.0,2381.0,232.79,72032.4,69.39,196228.8,9785.25,39652.3,8302.51,17742.2,0.81,0.0,0.0,0.0,0.0,3.5,2.91,929.60,272.06,929.79,931.18,208.46,462.98,142.82
10000,4,10,64,10,64000,1000,original-global,8792.2,143.56,2312997.6,71389.9,2312.5,71.37,10000.0,0.0,230.9,7.09,23352.4,53.62,34855.3,3256.99,16329.9,3732.2,5352.8,0.66,0.0,0.0,0.1,0.23,6.1,12.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10000,4,10,64,10,64000,1000,linear-global,8982.4,217.57,2481601.5,74046.58,2481.1,74.0,10000.0,0.0,247.5,7.27,23726.0,56.62,39103.7,5943.04,14187.2,5657.9,5464.0,0.95,0.0,0.0,0.0,0.0,1.2,1.5,7.29,2.16,7.29,7.19,1.60,12.19,-13.12
10000,4,10,64,10,64000,1000,linear-hit,32310.0,2785.82,24102473.4,2618763.43,24102.0,2618.77,10000.0,0.0,2409.6,261.96,71549.2,53.95,180070.1,6948.89,49107.7,8059.43,17606.0,0.75,0.0,0.0,0.2,0.3,8.7,11.63,942.04,267.48,942.25,943.57,206.39,416.62,200.72
10000,4,10,64,10,64000,1000,linear-miss,33731.9,2030.97,25306603.6,1893921.34,25306.2,1893.91,10000.0,0.0,2530.3,189.44,71506.4,42.51,188169.0,10223.83,47345.4,11077.26,17606.0,0.34,0.0,0.0,0.0,0.0,3.9,3.51,994.10,283.66,994.32,995.84,206.21,439.86,189.93
10000,4,10,64,10,64000,1000,trie-global,9445.5,276.89,2757273.6,105094.33,2756.8,105.19,10000.0,0.0,275.2,10.39,24251.6,73.98,38336.6,4978.16,15019.3,5255.57,5585.1,0.63,0.0,0.0,0.3,0.48,0.3,0.35,19.21,7.43,19.21,19.19,3.85,9.99,-8.03
10000,4,10,64,10,64000,1000,trie-hit,40264.1,1635.21,31935208.0,1525247.05,31934.8,1525.33,10000.0,0.0,3193.0,152.58,88423.6,47.35,178833.2,6771.47,54426.5,4578.57,21848.0,0.67,0.0,0.0,0.3,0.35,4.0,2.86,1280.68,357.95,1280.96,1282.85,278.65,413.07,233.29
