repeat,case,project,routes,path_len,providers_per_rule,prefix_rules,origin_diversity_pct,generated_prefix_rules,distinct_origins,proto,wall_us,total_ns,total_us,calls,avg_ns,rss_kb,user_us,sys_us,minflt,majflt,nvcsw,nivcsw,log_file
1,original-global,bird,10000,4,10,2,0,2,1,test_routes,7409,1406935,1406,10000,140,21224,35802,7956,4836,0,0,0,
2,original-global,bird,10000,4,10,2,0,2,1,test_routes,8201,1390279,1390,10000,139,21224,16700,41750,4835,0,0,1,
3,original-global,bird,10000,4,10,2,0,2,1,test_routes,7529,1433193,1433,10000,143,21248,32075,12028,4836,0,0,0,
4,original-global,bird,10000,4,10,2,0,2,1,test_routes,7667,1411482,1411,10000,141,21032,40064,4006,4835,0,0,0,
5,original-global,bird,10000,4,10,2,0,2,1,test_routes,7686,1448118,1448,10000,144,21120,37343,8298,4835,0,0,0,
6,original-global,bird,10000,4,10,2,0,2,1,test_routes,8120,1386055,1386,10000,138,21120,18559,25983,4836,0,0,0,
7,original-global,bird,10000,4,10,2,0,2,1,test_routes,7503,1379246,1379,10000,137,21048,32206,12077,4835,0,0,0,
8,original-global,bird,10000,4,10,2,0,2,1,test_routes,7509,1389149,1389,10000,138,21048,35865,7970,4834,0,0,0,
9,original-global,bird,10000,4,10,2,0,2,1,test_routes,7546,1399259,1399,10000,139,21112,35886,7974,4835,0,0,1,
10,original-global,bird,10000,4,10,2,0,2,1,test_routes,7346,1388813,1388,10000,138,20980,34757,8691,4834,0,0,0,
1,linear-global,linear,10000,4,10,2,0,2,1,test_routes,7277,1343517,1343,10000,134,20996,15948,27909,4834,0,0,6,
1,linear-hit,linear,10000,4,10,2,0,2,1,test_routes,7333,1466364,1466,10000,146,21160,24356,20296,4837,0,0,31,
1,linear-miss,linear,10000,4,10,2,0,2,1,test_routes,7411,1463838,1463,10000,146,21036,33882,11294,4834,0,0,0,
2,linear-global,linear,10000,4,10,2,0,2,1,test_routes,7224,1343434,1343,10000,134,21288,39845,3986,4836,0,0,1,
2,linear-hit,linear,10000,4,10,2,0,2,1,test_routes,7297,1477873,1477,10000,147,21036,32040,12015,4834,0,0,1,
2,linear-miss,linear,10000,4,10,2,0,2,1,test_routes,7289,1472340,1472,10000,147,21252,35472,7882,4834,0,0,0,
3,linear-global,linear,10000,4,10,2,0,2,1,test_routes,7196,1348894,1348,10000,134,21112,29955,12838,4834,0,0,1,
3,linear-hit,linear,10000,4,10,2,0,2,1,test_routes,7408,1472302,1472,10000,147,21252,19827,23792,4836,0,0,2,
3,linear-miss,linear,10000,4,10,2,0,2,1,test_routes,7627,1475717,1475,10000,147,21148,30533,15266,4835,0,0,2,
