routes,path_len,providers_per_rule,prefix_rules,origin_diversity_pct,generated_prefix_rules,distinct_origins,case,wall_us_mean,wall_us_ci95,total_ns_mean,total_ns_ci95,total_us_mean,total_us_ci95,calls_mean,calls_ci95,avg_ns_mean,avg_ns_ci95,rss_kb_mean,rss_kb_ci95,user_us_mean,user_us_ci95,sys_us_mean,sys_us_ci95,minflt_mean,minflt_ci95,majflt_mean,majflt_ci95,nvcsw_mean,nvcsw_ci95,nivcsw_mean,nivcsw_ci95,delta_total_ns_pct_vs_original,delta_wall_pct_vs_original,delta_total_pct_vs_original,delta_avg_ns_pct_vs_original,delta_rss_pct_vs_original,delta_user_pct_vs_original,delta_sys_pct_vs_original
10000,4,10,2,0,2,1,hybrid-global,8022.7,1277.58,1403714.8,272096.5,1403.2,272.04,10000.0,0.0,139.9,27.21,21436.8,51.3,33073.8,6324.12,14259.1,4397.16,4874.0,0.58,0.0,0.0,0.0,0.0,0.8,1.34,0.03,4.85,0.02,0.14,1.52,3.60,4.28
10000,4,10,2,0,2,1,hybrid-hit,8604.6,1468.44,1622356.0,333589.82,1621.9,333.61,10000.0,0.0,161.6,33.28,21491.2,39.34,35824.4,7012.79,12336.4,4570.97,4874.3,0.68,0.0,0.0,0.0,0.0,1.6,1.91,15.61,12.45,15.61,15.68,1.78,12.21,-9.78
10000,4,10,2,0,2,1,hybrid-miss,7665.1,97.69,1476507.4,14418.57,1476.0,14.48,10000.0,0.0,147.2,1.46,21413.2,54.62,34620.2,3807.66,9912.2,3976.35,4873.9,1.04,0.0,0.0,0.0,0.0,2.7,1.69,5.22,0.18,5.21,5.37,1.41,8.44,-27.51
10000,4,10,2,0,2,1,original-global,7651.6,205.6,1403252.9,15913.45,1402.9,15.94,10000.0,0.0,139.7,1.65,21115.6,65.56,31925.7,5644.51,13673.3,8225.02,4835.1,0.53,0.0,0.0,0.0,0.0,0.2,0.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10000,4,10,2,0,2,1,linear-global,7422.7,165.03,1364596.6,29559.91,1364.0,29.55,10000.0,0.0,135.9,2.89,21154.8,67.82,31365.8,4929.48,13249.5,4823.72,4835.0,0.48,0.0,0.0,0.0,0.0,1.8,1.42,-2.75,-2.99,-2.77,-2.72,0.19,-1.75,-3.10
10000,4,10,2,0,2,1,linear-hit,7484.9,155.45,1486615.7,23655.58,1486.2,23.66,10000.0,0.0,148.1,2.4,21173.2,80.26,32102.0,4273.51,12747.9,4268.53,4836.2,1.06,0.0,0.0,0.0,0.0,7.2,6.96,5.94,-2.18,5.94,6.01,0.27,0.55,-6.77
10000,4,10,2,0,2,1,linear-miss,7504.7,80.81,1490973.2,13666.36,1490.5,13.72,10000.0,0.0,148.7,1.35,21147.2,70.59,35992.7,3560.92,9141.6,3773.49,4835.1,1.04,0.0,0.0,0.0,0.0,2.2,1.87,6.25,-1.92,6.24,6.44,0.15,12.74,-33.14
10000,4,10,2,0,2,1,trie-global,7874.5,771.4,1467384.0,113790.05,1467.0,113.85,10000.0,0.0,146.3,11.34,21413.6,83.73,34707.1,4617.63,11109.1,4771.72,4875.8,0.94,0.0,0.0,0.0,0.0,3.8,2.43,4.57,2.91,4.57,4.72,1.41,8.71,-18.75
10000,4,10,2,0,2,1,trie-hit,9336.3,1410.37,2098664.5,306239.1,2098.1,306.28,10000.0,0.0,209.4,30.69,21474.8,54.2,39375.1,6176.14,10548.5,3684.17,4878.6,0.84,0.0,0.0,0.0,0.0,2.9,4.09,49.56,22.02,49.55,49.89,1.70,23.33,-22.85
10000,4,10,2,0,2,1,trie-miss,8219.8,528.04,1660981.5,95677.13,1660.5,95.6,10000.0,0.0,165.6,9.52,21453.2,59.93,35246.8,5235.7,12061.8,3366.02,4877.9,0.63,0.0,0.0,0.0,0.0,2.1,1.67,18.37,7.43,18.36,18.54,1.60,10.40,-11.79
10000,4,10,2,50,10000,5000,hybrid-global,14110.3,520.3,5131564.7,314951.2,5131.0,314.86,10000.0,0.0,512.6,31.33,36040.8,59.7,63265.7,6169.07,21634.2,6295.91,8540.7,1.07,0.0,0.0,0.0,0.0,0.7,0.48,52.91,21.68,52.91,52.92,13.70,-2.16,73.58
10000,4,10,2,50,10000,5000,hybrid-hit,15938.0,543.82,7130803.6,401368.19,7130.5,401.34,10000.0,0.0,712.7,40.04,43284.8,52.7,81861.6,7593.28,28357.2,8489.07,10430.1,0.98,0.0,0.0,0.0,0.0,0.7,0.48,112.48,37.45,112.50,112.62,36.55,26.60,127.53
10000,4,10,2,50,10000,5000,hybrid-miss,16327.1,1128.98,7360479.3,723616.91,7360.0,723.55,10000.0,0.0,735.6,72.39,43230.0,41.4,88557.4,6288.76,23298.5,4091.48,10429.7,0.59,0.0,0.0,0.0,0.0,0.9,1.45,119.32,40.80,119.34,119.45,36.38,36.96,86.94
10000,4,10,2,50,10000,5000,original-global,11595.9,323.99,3356036.0,127384.45,3355.5,127.47,10000.0,0.0,335.2,12.6,31698.0,66.45,64659.3,4662.57,12463.3,4659.68,7459.9,0.71,0.0,0.0,0.0,0.0,0.7,0.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10000,4,10,2,50,10000,5000,linear-global,11998.1,544.4,3790602.6,316639.33,3790.1,316.61,10000.0,0.0,378.6,31.74,33771.2,76.42,74411.6,6639.9,30073.1,8608.2,8913.0,35.9,0.0,0.0,181.9,5.54,6.4,4.21,12.95,3.47,12.95,12.95,6.54,15.08,141.29
10000,4,10,2,50,10000,5000,linear-hit,13345.2,521.39,5250798.1,354246.75,5250.3,354.13,10000.0,0.0,524.7,35.37,41167.2,70.57,100656.3,5488.51,30704.4,6433.5,10802.0,36.22,0.0,0.0,183.6,5.27,16.5,20.48,56.46,15.09,56.47,56.53,29.87,55.67,146.36
10000,4,10,2,50,10000,5000,linear-miss,13919.8,1253.21,5273169.0,508286.15,5272.7,508.2,10000.0,0.0,526.9,50.81,41198.4,76.74,100215.0,7320.94,33718.2,8345.34,10813.7,38.1,0.0,0.0,186.6,5.55,19.3,20.88,57.12,20.04,57.14,57.19,29.97,54.99,170.54
10000,4,10,2,50,10000,5000,trie-global,13724.8,487.22,5281329.1,311187.41,5280.7,311.1,10000.0,0.0,527.7,31.09,35606.0,93.09,63404.3,7780.27,19638.5,7719.26,8461.2,1.3,0.0,0.0,0.1,0.23,1.8,3.11,57.37,18.36,57.37,57.43,12.33,-1.94,57.57
10000,4,10,2,50,10000,5000,trie-hit,57545.0,7565.11,46395959.3,6218450.93,46395.5,6218.43,10000.0,0.0,4639.0,621.72,84852.4,63.47,96901.4,14052.67,56048.2,11059.45,20800.1,0.71,0.0,0.0,0.0,0.0,2.1,2.17,1282.46,396.25,1282.67,1283.95,167.69,49.86,349.71
10000,4,10,2,50,10000,5000,trie-miss,52149.1,4132.48,41773823.5,3445607.9,41773.3,3445.73,10000.0,0.0,4176.8,344.53,84804.4,61.51,96126.9,7558.53,49258.2,5077.07,20799.7,0.68,0.0,0.0,0.0,0.0,6.9,13.87,1144.74,349.72,1144.92,1146.06,167.54,48.67,295.23
10000,4,10,4,0,4,1,hybrid-global,7431.9,77.44,1295789.2,30004.83,1295.4,30.03,10000.0,0.0,129.2,3.05,21424.4,56.25,32780.7,2667.58,10769.3,2646.93,4872.6,0.69,0.0,0.0,0.0,0.0,0.2,0.3,-6.25,2.61,-6.25,-6.10,1.28,13.01,-21.39
10000,4,10,4,0,4,1,hybrid-hit,7762.7,154.89,1615562.0,23821.46,1615.0,23.84,10000.0,0.0,161.0,2.36,21425.2,85.15,29591.0,4515.55,13931.6,4750.16,4872.9,0.98,0.0,0.0,0.0,0.0,0.6,0.69,16.88,7.18,16.88,17.01,1.29,2.02,1.70
10000,4,10,4,0,4,1,hybrid-miss,7749.7,101.66,1607904.8,16795.82,1607.4,16.69,10000.0,0.0,160.3,1.69,21430.8,53.73,31694.8,4364.46,12511.1,4262.57,4873.0,0.67,0.0,0.0,0.0,0.0,0.5,0.38,16.33,7.00,16.33,16.50,1.31,9.27,-8.67
10000,4,10,4,0,4,1,original-global,7243.0,41.69,1382224.3,10983.31,1381.8,11.03,10000.0,0.0,137.6,1.02,21153.2,93.66,29006.3,4183.07,13699.0,4361.37,4835.7,1.07,0.0,0.0,0.0,0.0,2.7,1.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10000,4,10,4,0,4,1,linear-global,7349.8,73.86,1357905.2,14719.32,1357.4,14.86,10000.0,0.0,135.2,1.46,21122.8,46.22,32612.2,2903.48,11146.4,2954.72,4835.4,0.77,0.0,0.0,0.0,0.0,0.3,0.35,-1.76,1.47,-1.77,-1.74,-0.14,12.43,-18.63
